	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C11orf96	26.17909017	3.989498898	0.934711977	4.268158529	1.97E-05	0.000435523
SLC39A10	159.7395432	-1.056760158	0.247637948	-4.267359537	1.98E-05	0.000436554
RPL7A	4994.51075	-1.161781533	0.272704696	-4.260218281	2.04E-05	0.000449102
CEACAM6	2939.352265	1.343332092	0.31558925	4.256583816	2.08E-05	0.00045536
MIR3687-1	21.52187857	2.908177517	0.683629818	4.2540238	2.10E-05	0.000460044
THOC6	146.0805361	1.182022925	0.277924069	4.253042676	2.11E-05	0.000461509
RFX1	356.653243	1.08642298	0.255936562	4.244891667	2.19E-05	0.000476313
SLC25A28	759.1785481	1.425311204	0.33587165	4.243618669	2.20E-05	0.000478451
NUPR1	2984.694822	2.256624163	0.531847049	4.242994613	2.21E-05	0.00047921
FMNL1	1041.835591	2.581540604	0.608691918	4.241128441	2.22E-05	0.000481484
TDRD7	915.4949882	1.110515152	0.261982607	4.238888849	2.25E-05	0.000484032
GLIPR2	1728.554852	1.053731535	0.248546999	4.23956652	2.24E-05	0.000484032
RPL37A	4801.793874	-1.009586748	0.238146939	-4.2393438	2.24E-05	0.000484032
SASH3	641.7791208	2.364120291	0.557857444	4.237857387	2.26E-05	0.000485657
RHPN1	792.3308957	1.422241651	0.335734063	4.236214936	2.27E-05	0.000488642
PSMB8-AS1	230.0058152	1.339991356	0.316618203	4.232199355	2.31E-05	0.000496863
HSPA1A	2928.102126	1.717743212	0.40617164	4.229106722	2.35E-05	0.000502554
SRM	247.1201588	1.275945949	0.301862502	4.226911065	2.37E-05	0.000506287
MT2A	2445.018355	2.196923484	0.51992602	4.225454008	2.38E-05	0.000508378
SAMSN1	852.0687815	2.820860675	0.66854023	4.219432949	2.45E-05	0.000520314
SMCHD1	4363.099024	1.129504082	0.267789837	4.217875087	2.47E-05	0.000523309
IRS1	325.6848804	1.553468503	0.368611793	4.214375484	2.50E-05	0.000529632
CCND2	562.6979486	1.995101099	0.473495768	4.213556348	2.51E-05	0.000530323
FFAR2	1359.882238	5.012117511	1.190125122	4.211420646	2.54E-05	0.000534122
ADGRA3	316.23427	-1.309057951	0.310942408	-4.209969173	2.55E-05	0.000536943
ACE2	317.252727	2.168969298	0.515434261	4.208042541	2.58E-05	0.000540415
NLRC4	56.42065999	4.733895097	1.126409129	4.202642695	2.64E-05	0.00055207
EIF4B	3583.221294	-1.025110933	0.243963592	-4.20190129	2.65E-05	0.000553244
HSPA6	392.8848359	3.34927229	0.797892705	4.197647465	2.70E-05	0.000560005
BCAT1	464.4863234	1.956810672	0.466094113	4.198316647	2.69E-05	0.000560005
METRNL	468.339526	1.311910852	0.312562965	4.197269032	2.70E-05	0.000560166
SIPA1	315.1466641	1.97446006	0.470734183	4.194426772	2.74E-05	0.000566589
ACOD1	86.3819226	6.425299332	1.533096277	4.191060553	2.78E-05	0.000573102
TTLL12	462.1746481	1.055038413	0.251757132	4.190699197	2.78E-05	0.000573364
CREB3L1	1529.445038	1.042229871	0.248835155	4.188434997	2.81E-05	0.000577802
RASAL1	87.56046993	2.241101659	0.535132406	4.187938601	2.82E-05	0.000578412
NAPSB	190.1920174	2.314191731	0.552982968	4.184924065	2.85E-05	0.000584818
RCSD1	381.5736563	2.331140255	0.557605512	4.180626274	2.91E-05	0.000594641
MXD1	1694.527953	2.053510645	0.491245599	4.180211786	2.91E-05	0.000595055
PAXIP1	190.045517	-1.109223994	0.265475864	-4.17824798	2.94E-05	0.000598868
ZNF559	106.8640509	-1.399533428	0.335434423	-4.172301145	3.02E-05	0.000613343
SERTAD3	373.8498627	1.33325768	0.319727762	4.16997783	3.05E-05	0.000618936
IL15RA	143.9954155	2.391313766	0.573499834	4.169685195	3.05E-05	0.000619039
PDLIM4	250.4166203	1.503983393	0.360865825	4.167708019	3.08E-05	0.000623039
MRPS18A	346.2466002	1.041096835	0.249890986	4.16620403	3.10E-05	0.000625766
SH3BGRL3	1783.127189	1.394596344	0.334799909	4.165462133	3.11E-05	0.000627107
CYTOR	104.6369062	2.704363461	0.649401757	4.164391967	3.12E-05	0.000629356
FAM213A	716.6889666	-1.138431164	0.27345902	-4.163077759	3.14E-05	0.000631589
PLAU	506.6076921	2.173934174	0.522981846	4.156806189	3.23E-05	0.000647737
RPS3A	4427.94579	-1.266905043	0.304886755	-4.155329878	3.25E-05	0.000651215
AL359075.1	217.072078	-1.24817208	0.300419266	-4.154767091	3.26E-05	0.0006521
GLIPR1	197.1185409	1.462124986	0.352067553	4.152967157	3.28E-05	0.000655806
SERPINB11	407.5326938	-1.470779501	0.354147088	-4.153018758	3.28E-05	0.000655806
DOCK10	629.5136769	2.081360328	0.501229803	4.152507124	3.29E-05	0.000656404
IRAK2	440.1584984	1.512965415	0.364480538	4.15101839	3.31E-05	0.000659964
CALHM2	77.8611581	3.052797815	0.736423498	4.145437813	3.39E-05	0.000674764
AGL	846.6093262	-1.027972827	0.248097238	-4.143427135	3.42E-05	0.000679965
RN7SL1	570855.1906	1.412528479	0.340955783	4.142849457	3.43E-05	0.000680936
U2	21.54949451	3.757622626	0.907723705	4.139610549	3.48E-05	0.000689115
CDCA7L	234.4304557	-1.249959683	0.302029083	-4.1385408	3.50E-05	0.000691487
RPL6	3190.384731	-1.139473095	0.275393737	-4.137614417	3.51E-05	0.000692869
CCL3L3	183.8448259	4.500572505	1.087976079	4.136646561	3.52E-05	0.000695041
HCK	727.9447396	2.453784953	0.593228106	4.136326195	3.53E-05	0.000695257
MAP2K3	982.316244	1.022610011	0.24739588	4.133496526	3.57E-05	0.00070008
HIST1H4C	410.4230645	-1.05987404	0.256481559	-4.132359623	3.59E-05	0.000702038
MPP6	185.5303922	-1.53984581	0.372630252	-4.13236929	3.59E-05	0.000702038
LONRF2	298.6726664	-1.78279366	0.43147958	-4.131814673	3.60E-05	0.000702948
ADORA3	62.08998242	3.170795111	0.767771613	4.129867603	3.63E-05	0.000708166
C6orf48	387.6536272	-1.000749681	0.242389008	-4.128692505	3.65E-05	0.000711031
RAD51-AS1	57.17542951	-1.29307102	0.313408488	-4.125832805	3.69E-05	0.000718383
JOSD2	96.70123697	1.619764134	0.392639688	4.125319426	3.70E-05	0.000719218
PTPRH	396.8201322	2.282230572	0.553340923	4.124456509	3.72E-05	0.000721148
CPA4	856.8539641	2.452755276	0.595083296	4.121700768	3.76E-05	0.000728275
SHPRH	586.3612023	-1.035508639	0.251257049	-4.121311801	3.77E-05	0.000728729
ORAI1	202.443394	1.336065999	0.324386874	4.118742477	3.81E-05	0.000736117
SHISA8	20.33040989	4.088999894	0.992890831	4.118277424	3.82E-05	0.000736819
RIPK2	302.3416438	1.481625117	0.359859858	4.117228097	3.83E-05	0.000739395
GIMAP8	214.0346907	2.570283689	0.624520512	4.11561132	3.86E-05	0.000743808
NUB1	1873.020896	1.260641889	0.30649642	4.113072145	3.90E-05	0.000749655
ADGRE5	1715.028141	1.878390524	0.456723744	4.112749882	3.91E-05	0.000749778
AKIRIN2	645.7751931	1.180993998	0.287181466	4.112361474	3.92E-05	0.000749778
THUMPD3-AS1	182.4926905	-1.099796593	0.267440499	-4.112303848	3.92E-05	0.000749778
AL671277.1	35.7057508	3.305078216	0.804333069	4.109091547	3.97E-05	0.000759482
ZNF112	122.154266	-1.100074796	0.267993086	-4.104862605	4.05E-05	0.000771885
SP140	306.6418017	2.945045778	0.717733824	4.10325622	4.07E-05	0.00077645
TAGAP	1237.978813	3.09136722	0.753608167	4.102088269	4.09E-05	0.000779563
C19orf35	45.33239467	5.722647052	1.396504747	4.097835731	4.17E-05	0.000793189
SEC14L3	1462.999706	-2.2654167	0.552895143	-4.097371316	4.18E-05	0.00079395
SAA4	48.64566069	4.691840633	1.145975969	4.094187628	4.24E-05	0.000801583
CCDC71L	394.4461561	1.971685458	0.481699842	4.0931827	4.25E-05	0.000804229
FAM157A	204.5437059	1.998518482	0.488687259	4.089565348	4.32E-05	0.000816025
RIMS1	981.4943185	-1.35735262	0.332067612	-4.087579071	4.36E-05	0.000822186
FGR	558.9902679	3.141257765	0.768799381	4.0859265	4.39E-05	0.000823784
CCL5	426.6286652	2.476327671	0.605929723	4.086823236	4.37E-05	0.000823784
CCR5	325.9611411	2.43672476	0.596281396	4.086534939	4.38E-05	0.000823784
TRIB2	1240.646344	1.223604375	0.299460499	4.08602931	4.39E-05	0.000823784
GPR183	179.0789554	2.647792698	0.648076314	4.085618687	4.40E-05	0.000824026
MARCKS	4942.662946	1.377870298	0.337317474	4.084787786	4.41E-05	0.000826127
SNORA70	29.51460313	4.504861507	1.103719814	4.081526352	4.47E-05	0.000835225
ZNF662	61.35907694	-1.594352635	0.390674561	-4.081024961	4.48E-05	0.000836169
C17orf62	441.7936686	1.222229923	0.299928024	4.075077438	4.60E-05	0.000853449
TOR1B	575.4372151	1.268025049	0.311189505	4.074768043	4.61E-05	0.000853712
MMP13	261.9060449	3.644271117	0.894819646	4.072631991	4.65E-05	0.000859961
SLC7A7	273.8085937	1.88416101	0.462643739	4.072595934	4.65E-05	0.000859961
RBM38	493.0802962	1.261339493	0.309744489	4.072193488	4.66E-05	0.000860572
CYTIP	549.003615	2.540268077	0.623898599	4.071604074	4.67E-05	0.000861876
ATF5	606.1379434	1.759486845	0.432300572	4.070054398	4.70E-05	0.000865869
RNF19B	1811.293932	1.349516044	0.331740297	4.0679895	4.74E-05	0.000872691
PPP1R16A	999.8481646	1.021638149	0.251157809	4.067714046	4.75E-05	0.000872839
RAB8A	1172.129309	1.37287048	0.337995512	4.061800914	4.87E-05	0.00089254
FAM26F	200.0223432	2.715844614	0.669463453	4.056748135	4.98E-05	0.000910225
ACAP1	173.35878	2.14623248	0.53055949	4.045224937	5.23E-05	0.000951388
C15orf39	919.2042545	1.465828192	0.362548931	4.043118231	5.27E-05	0.00095724
HDAC9	617.6286629	1.975247847	0.488604471	4.042631546	5.29E-05	0.000958135
CD48	436.5272687	2.500388088	0.618974436	4.039566	5.36E-05	0.000968811
CD300A	251.982135	2.764629892	0.684795716	4.037160029	5.41E-05	0.000975881
RNASE1	254.9885215	2.398589001	0.594102738	4.037330326	5.41E-05	0.000975881
HK2	1712.766871	1.248624896	0.309439173	4.035122267	5.46E-05	0.000982438
SLC9A3-AS1	233.9396355	-1.46656808	0.363473273	-4.034871862	5.46E-05	0.000982512
STK10	946.4607825	1.311458527	0.325134516	4.03358752	5.49E-05	0.000986923
TNFSF18	14.56615589	5.767106071	1.430416691	4.031766482	5.54E-05	0.000991505
TRPV2	72.42517593	4.340368642	1.077374498	4.028653593	5.61E-05	0.001001862
NRROS	44.33511187	4.059713893	1.007764428	4.028435395	5.61E-05	0.001001862
PTX3	23.13550251	6.492715998	1.611867497	4.028070552	5.62E-05	0.001002433
CAPN14	80.19534121	3.391695595	0.84219313	4.027218312	5.64E-05	0.001003303
AC124319.4	88.80410785	2.111961409	0.524395325	4.027422264	5.64E-05	0.001003303
KLRD1	108.9075928	3.151223673	0.783036241	4.024365041	5.71E-05	0.001011399
DAB2	486.0648158	1.635079366	0.407052235	4.016878487	5.90E-05	0.001038997
FZD2	19.33947087	4.25021799	1.058380789	4.015773939	5.93E-05	0.001039793
UBE2D1	324.1790908	1.298992815	0.323490062	4.015557094	5.93E-05	0.001039793
ANKRD22	167.7165013	2.17166438	0.541247256	4.012333284	6.01E-05	0.001051056
CCDC7	144.623725	-1.526158667	0.380395165	-4.012034876	6.02E-05	0.001051374
TRAFD1	1557.75102	1.143772771	0.285155115	4.011054729	6.04E-05	0.001054735
RHOF	246.3633834	1.55548858	0.387852357	4.010517276	6.06E-05	0.001056124
MFNG	52.83976705	3.665853585	0.91417934	4.009993908	6.07E-05	0.00105644
GLDN	121.2403949	-2.526522562	0.63003462	-4.010132908	6.07E-05	0.00105644
ENTPD5	527.0850921	-1.238506744	0.308923392	-4.009106393	6.09E-05	0.001059404
LILRB4	306.8059024	2.867970311	0.715493309	4.008381735	6.11E-05	0.001061643
U62317.5	69.16908345	2.866048457	0.715103137	4.007881252	6.13E-05	0.001062879
ZC3H12A	1143.180428	1.649614912	0.411741712	4.006431372	6.16E-05	0.001067635
TLR3	504.4988293	1.391651218	0.347359172	4.006375326	6.17E-05	0.001067635
C19orf38	107.6474285	2.48024155	0.619318459	4.004791902	6.21E-05	0.001071747
RHOU	1389.761117	1.076690916	0.269381055	3.996906602	6.42E-05	0.001107014
MUC5AC	32567.94949	1.586600996	0.39738122	3.992642116	6.53E-05	0.001124991
CSK	1097.970839	1.010808141	0.253167846	3.992640285	6.53E-05	0.001124991
NCKAP1L	744.1291736	2.162822597	0.54204975	3.990081349	6.61E-05	0.001135046
MS4A4A	145.8098633	3.21593036	0.806513607	3.987447119	6.68E-05	0.001146634
PPP1R18	1099.37936	2.094953824	0.525446107	3.987000375	6.69E-05	0.00114771
GRIN3A	41.298214	4.753123514	1.194224785	3.980091162	6.89E-05	0.001177419
HIST3H2A	211.9594238	1.263187728	0.317399931	3.979798372	6.90E-05	0.001177419
ZNF846	156.7983017	-1.336068068	0.33577481	-3.979059854	6.92E-05	0.001178927
APLF	76.66298298	-1.907397928	0.479528302	-3.97765454	6.96E-05	0.001184803
C1R	330.2318291	1.727975102	0.434497993	3.976946111	6.98E-05	0.001187224
PRDM1	609.8997821	1.631944048	0.411951401	3.961496539	7.45E-05	0.001252668
GCH1	978.7230847	1.577157555	0.398102465	3.961687492	7.44E-05	0.001252668
PTPRM	482.8173268	-1.118697278	0.28241672	-3.961158092	7.46E-05	0.001253285
FCN1	175.4933723	4.934256566	1.24733334	3.955844368	7.63E-05	0.001272283
CD4	553.8072025	1.646879195	0.416319873	3.955802504	7.63E-05	0.001272283
ZNF37BP	146.8334824	-1.42536559	0.360494716	-3.953915348	7.69E-05	0.001281189
AC002511.1	33.72904791	6.171467547	1.56108175	3.953327585	7.71E-05	0.001283164
ACSL1	2752.307392	1.757796732	0.444717863	3.95261103	7.73E-05	0.001285836
ECM1	1388.911223	2.997322486	0.758623461	3.951001568	7.78E-05	0.001292148
PLXND1	247.4160968	2.250033732	0.569954564	3.947742282	7.89E-05	0.001306279
ABTB2	147.0047726	2.127011506	0.539666497	3.941344362	8.10E-05	0.001340401
ADM	498.7812005	2.042859587	0.518528962	3.939721283	8.16E-05	0.001347048
MPEG1	821.7539715	1.768278904	0.449374391	3.934979248	8.32E-05	0.001368945
IRX5	126.8444504	1.11639493	0.283763915	3.93423854	8.35E-05	0.00137069
LGALS9B	348.2823034	1.374640825	0.349588434	3.932169066	8.42E-05	0.001381298
CLEC2B	692.804539	1.549685782	0.394522546	3.928003095	8.57E-05	0.001401847
INAFM1	119.7142245	1.585125021	0.403825462	3.925272601	8.66E-05	0.00141636
CHST11	419.0800238	1.62491338	0.414041773	3.92451556	8.69E-05	0.001419543
INF2	559.2460054	1.489962147	0.379717723	3.923867805	8.71E-05	0.001420812
FUT6	337.2377842	1.446093327	0.368594583	3.923262558	8.74E-05	0.00142311
PREX1	1922.188853	2.198044807	0.56155708	3.91419659	9.07E-05	0.00146843
HMOX1	719.643307	2.011146341	0.513795313	3.914294835	9.07E-05	0.00146843
LCP1	4471.466754	2.245290518	0.573985947	3.911751722	9.16E-05	0.001480739
GPRIN3	428.0365205	2.023709625	0.517451067	3.910919801	9.19E-05	0.001484528
UBQLNL	56.15822811	2.589009794	0.662277624	3.909251497	9.26E-05	0.00149349
EHBP1L1	1268.758755	1.019524135	0.260869704	3.908173768	9.30E-05	0.001498835
RPS23	2552.348665	-1.011879879	0.259251596	-3.903080621	9.50E-05	0.001526677
COL18A1	300.8163361	1.984414844	0.50848231	3.902623166	9.52E-05	0.001528214
AC099489.1	838.9812444	2.606354675	0.668266263	3.900173954	9.61E-05	0.001539673
RPS6	4956.585531	-1.132970014	0.290485618	-3.900261984	9.61E-05	0.001539673
AC136475.5	34.12747466	6.188250006	1.587412919	3.898324079	9.69E-05	0.001547386
SDSL	157.4387759	1.603212067	0.411675633	3.894357448	9.85E-05	0.001568786
PDE4B	701.2757742	2.73969886	0.703710814	3.893216935	9.89E-05	0.001572046
PCED1B-AS1	55.03098182	2.617523363	0.672375758	3.892947254	9.90E-05	0.00157242
TESPA1	26.86085379	4.492792535	1.154368738	3.891990825	9.94E-05	0.001577254
ARHGAP15	227.3565271	3.02911974	0.778898376	3.888979403	0.000100667	0.001591392
PIK3CD	750.8450399	1.696452264	0.436541801	3.886116423	0.000101861	0.001604697
HIST1H2BJ	222.646131	1.313340314	0.337957223	3.886114056	0.000101862	0.001604697
METTL25	105.1429351	-1.103161929	0.28386544	-3.886214288	0.00010182	0.001604697
PECAM1	488.2584986	2.462247607	0.635004653	3.877526873	0.000105524	0.001655275
RNU1-1	266.2688008	2.377149442	0.613048604	3.877587234	0.000105498	0.001655275
LRG1	928.3650603	1.396908647	0.360258538	3.877517113	0.000105528	0.001655275
GRHL3	275.7449986	1.771769558	0.457114782	3.875983952	0.000106195	0.001664297
UGT2A1	2334.499777	-1.902896398	0.491352804	-3.872769999	0.000107605	0.0016835
LBX2-AS1	56.67113139	2.106840631	0.544336325	3.870475908	0.000108623	0.0016965
IRF1	4891.250629	1.514210158	0.391384746	3.868853278	0.000109348	0.001701975
MAFK	488.1961656	1.139073607	0.294401617	3.86911464	0.000109231	0.001701975
KNTC1	216.1321499	-1.069824036	0.276511952	-3.868997446	0.000109284	0.001701975
ADCY7	206.8304548	1.8348156	0.474618695	3.865873006	0.000110693	0.00171701
IL18RAP	322.5041683	3.805411773	0.986854407	3.856102529	0.000115209	0.001774945
MMP15	262.0550512	1.00578514	0.260936253	3.854524348	0.000115955	0.001783407
UGT1A6	176.9306725	-1.131206728	0.293661449	-3.852077725	0.00011712	0.001799801
RPH3A	58.12671335	6.409253993	1.664797325	3.84987043	0.00011818	0.00181303
AC018638.5	142.9859123	1.429571939	0.371399274	3.849151145	0.000118528	0.001815295
AC004656.1	175.4040509	-1.321625514	0.34334282	-3.84928834	0.000118461	0.001815295
AC093484.4	14.40655586	3.595162886	0.934560521	3.84690216	0.000119621	0.001828948
FASLG	52.68602754	3.768181812	0.979949942	3.845279896	0.000120415	0.001836454
RN7SL4P	7094.614649	1.615585296	0.420536371	3.841725491	0.000122172	0.001858576
PDCD1LG2	126.1502591	2.923913884	0.762035365	3.836979252	0.000124557	0.001893266
RPS26	1484.653247	-1.220434466	0.318105503	-3.836571378	0.000124764	0.001894826
SFMBT2	262.3606927	1.511796363	0.39416961	3.835395533	0.000125362	0.001900719
HUNK	232.3368166	-1.336549651	0.34849608	-3.835192786	0.000125466	0.001900719
VPS9D1	495.0117064	1.302419576	0.339689752	3.834144449	0.000126002	0.001905663
MAP3K11	896.2255358	1.204971906	0.314273731	3.834147713	0.000126	0.001905663
NUAK1	288.6983391	-1.042027886	0.27187079	-3.832805595	0.00012669	0.001914475
SELL	1675.225802	2.42545556	0.632897418	3.8323044	0.000126949	0.001916786
PFKFB3	2172.266706	2.163968351	0.564909718	3.830644584	0.000127808	0.00192656
CD93	282.8904431	2.474407805	0.646127515	3.829596711	0.000128353	0.001933177
GADD45B	1166.461747	1.653447378	0.432107798	3.826469657	0.000129994	0.001954647
IER5L	150.8695266	1.254835676	0.328063644	3.824976336	0.000130785	0.001964907
AC090559.1	56.86232281	3.791031914	0.991321834	3.824219121	0.000131187	0.0019677
MCOLN1	207.4901082	1.094383966	0.286190742	3.823967048	0.000131321	0.001968088
NECAP2	510.5155869	1.064481603	0.278512824	3.822020075	0.000132363	0.001978798
S100A9	16402.97755	2.635503527	0.689848214	3.820410739	0.00013323	0.001990117
B3GNT6	65.37962569	3.415145546	0.894125475	3.819537235	0.000133702	0.001993898
RAB15	293.5784084	-1.182393396	0.309605229	-3.819035613	0.000133974	0.001996318
FES	147.2385713	1.801254495	0.471743834	3.818289427	0.00013438	0.001998846
SNCA	308.7146385	-1.552249461	0.406548443	-3.818116848	0.000134474	0.001998846
TMSB10	11054.75944	1.288754423	0.337608278	3.817306942	0.000134916	0.002000506
ANKRD6	348.8939396	-1.03905466	0.272182629	-3.81749072	0.000134816	0.002000506
NCOA7	2857.721034	1.60206948	0.420325286	3.811499171	0.000138127	0.002043103
SEMA5A	921.0072601	-2.021174671	0.530491814	-3.810001621	0.000138966	0.002053846
HCAR3	1366.538226	3.144940967	0.825648933	3.80905351	0.0001395	0.00206006
SGPP1	55.5041431	1.6586672	0.435588987	3.807872208	0.000140168	0.002068242
SLCO2B1	289.2433315	2.023886094	0.532304178	3.802123259	0.000143461	0.002109985
HLA-DMB	467.3886699	1.441894999	0.379402487	3.800436336	0.000144442	0.002122683
AC027117.2	54.21931469	2.436598756	0.641540319	3.798044618	0.000145842	0.002141532
RNF166	254.3922408	1.282289555	0.337695181	3.797180492	0.000146351	0.002147273
BCL2A1	1652.159094	3.061757719	0.806539163	3.796167452	0.00014695	0.002154322
B3GNT3	564.469081	1.739095384	0.458224782	3.795288802	0.000147472	0.002158482
C22orf34	13.66829542	4.455150128	1.17413528	3.794409556	0.000147995	0.0021644
LINC00461	49.89249145	-1.589733575	0.419068353	-3.793494693	0.000148542	0.002168901
TYROBP	480.183531	2.187987279	0.577286398	3.790124431	0.000150572	0.002191496
TLR4	687.4681035	2.331652083	0.615311428	3.789385304	0.000151021	0.002194509
CXCR3	17.39786184	4.80560843	1.268703247	3.787811247	0.00015198	0.002204927
LHFPL2	342.3467004	1.786023703	0.471813996	3.785440277	0.000153437	0.002218968
AC105942.1	65.49630102	-2.030254192	0.537367234	-3.778150328	0.000157998	0.002274062
LAPTM5	2452.909111	2.03051081	0.537556704	3.777296042	0.00015854	0.002278263
SELPLG	253.3422924	2.330568743	0.617410626	3.774746733	0.00016017	0.002298052
LMO2	1069.540107	1.394258629	0.369353665	3.774860688	0.000160097	0.002298052
CDC42EP5	210.4976867	1.575097245	0.417323538	3.774283262	0.000160468	0.002300484
CCDC94	346.9991284	1.395044841	0.369675949	3.773696512	0.000160846	0.002300484
AC008124.1	315.1557712	-1.087567128	0.288185112	-3.773849114	0.000160748	0.002300484
MYO7A	60.12506425	2.878878523	0.762964907	3.773277769	0.000161117	0.002302537
PKD2L1	14.54296709	5.849585943	1.551305726	3.77074992	0.000162758	0.002320511
CYTH4	1026.024085	2.915248253	0.773594017	3.768447258	0.000164266	0.002338347
TRAC	175.8900915	1.961760732	0.521254341	3.76353841	0.000167526	0.002382883
NR2E1	102.9834956	-2.017136947	0.536390131	-3.760578037	0.000169521	0.002407492
HIST1H2BK	765.8622887	1.280793202	0.340783016	3.758383319	0.000171015	0.002424912
TMEM176B	150.0618916	2.700764713	0.719280247	3.754815628	0.000173469	0.002457795
PTPRG	339.5355831	-1.728309133	0.460349842	-3.754338495	0.0001738	0.002460562
CTSL	1192.508632	1.181618239	0.314866817	3.752755684	0.000174901	0.002470379
ELL	380.8067586	1.173836021	0.313072891	3.749401669	0.000177257	0.002493955
NECTIN3	68.12965417	-1.979855273	0.52802254	-3.749565831	0.000177141	0.002493955
BTN3A1	542.4058596	1.301469771	0.347439301	3.745891056	0.000179755	0.002527138
FCGBP	1775.960653	1.588470702	0.424148369	3.745082656	0.000180334	0.002533329
KYNU	741.7082421	1.311199474	0.350289881	3.743183984	0.000181703	0.002550583
PLIN3	766.2201702	1.157881506	0.309560783	3.740401145	0.000183727	0.002576999
CFP	140.1784163	2.559472105	0.68436184	3.739939835	0.000184064	0.002579741
HRH2	224.9326207	3.23323532	0.864944601	3.738083706	0.000185428	0.002596853
NCF2	1922.737122	2.147893495	0.574737145	3.737175355	0.000186099	0.002604241
RNF180	135.1784499	-1.228690801	0.328871008	-3.736087319	0.000186906	0.002611505
P2RY6	61.28345428	2.391813157	0.640360288	3.735105378	0.000187637	0.002616991
VIM	2343.138449	1.601233635	0.42925146	3.730292815	0.000191257	0.002656478
KLF2	538.5873459	1.55810376	0.417694878	3.730243871	0.000191295	0.002656478
RELT	168.2130817	2.290448817	0.614438361	3.727711292	0.000193227	0.002675127
PDGFC	186.2162994	-1.297461531	0.348051166	-3.727789638	0.000193167	0.002675127
MT3	49.03961196	-2.759461835	0.740188561	-3.728052529	0.000192965	0.002675127
PILRA	192.0623288	2.408899252	0.646533436	3.725869565	0.000194643	0.002690636
PNPT1	1159.678021	1.234203204	0.331319647	3.725113248	0.000195228	0.002696664
RPS12	4149.377226	-1.024536212	0.2751168	-3.724004543	0.000196087	0.002704428
RENBP	82.49759003	3.572170631	0.959454757	3.723125668	0.000196772	0.002711804
ADAM8	843.2966238	2.693219739	0.723452879	3.722730005	0.00019708	0.002714
TOMM7	900.300563	-1.091107512	0.293262892	-3.720578165	0.000198767	0.002735157
PKHD1L1	72.599365	-2.889334837	0.776916752	-3.718976105	0.000200032	0.002750477
SCN9A	25.04009418	-2.832395017	0.761759312	-3.71822828	0.000200625	0.002754461
KRT24	868.7734137	3.049590328	0.821062582	3.714199618	0.000203848	0.002796595
FCGR2A	940.8912875	2.575940647	0.693988004	3.711794201	0.000205795	0.00281269
RASSF8	218.7044783	-1.423912679	0.384259816	-3.705598716	0.000210892	0.002878018
KDM6B	2666.249712	1.553319227	0.419267538	3.704840197	0.000211524	0.002884477
SSTR2	32.11959839	5.422110781	1.46368659	3.704420618	0.000211874	0.002887087
TNFRSF8	23.08831736	6.495750442	1.754038415	3.70331139	0.000212803	0.002897572
SLC31A2	268.7882495	1.72691108	0.466607481	3.700993122	0.000214757	0.002917615
ARHGAP4	218.3422093	1.567188204	0.423444786	3.701044994	0.000214713	0.002917615
KRT4	4421.251993	2.156547959	0.583055435	3.698701412	0.000216705	0.00293749
PLEKHO1	555.3314762	1.837341301	0.496748791	3.698733311	0.000216678	0.00293749
RARA	651.0423077	1.184855122	0.32070671	3.694513036	0.000220309	0.002974512
ACOT9	720.632647	1.044650811	0.282759919	3.694479812	0.000220337	0.002974512
MZT2A	147.2863413	1.015377309	0.274897688	3.693655327	0.000221053	0.002980856
PIK3R5	321.4841923	2.231493326	0.604703685	3.690226109	0.000224055	0.003014616
AC022034.2	236.2056059	1.80381365	0.489101478	3.688015132	0.00022601	0.003034183
NPL	357.2212181	1.571649261	0.426123279	3.688250181	0.000225802	0.003034183
HAVCR2	395.972588	2.134683861	0.578904204	3.687456137	0.000226507	0.003038608
PAPSS2	157.5434958	-1.658175442	0.449737673	-3.686983637	0.000226928	0.003042007
AC034199.1	27.57391642	6.748205336	1.832549822	3.682413027	0.000231037	0.003092521
POLD4	378.1479043	1.052267374	0.285797156	3.681867899	0.000231531	0.003096777
PLA2G7	130.6756671	3.565761303	0.968894783	3.680235838	0.000233018	0.003109208
DYSF	1162.019773	3.256167862	0.884727244	3.68042002	0.00023285	0.003109208
CLCN5	179.4384059	-1.298323023	0.353038813	-3.677564552	0.000235471	0.003131116
LILRA1	89.28455074	3.73731134	1.016604183	3.676269881	0.000236669	0.003140145
PLPP3	351.999185	-1.098461671	0.298829446	-3.675881633	0.000237029	0.003142629
AP1S2	155.5033768	1.92594587	0.524327892	3.673170735	0.000239559	0.003171542
FOXN2	446.9433067	1.14823168	0.312715057	3.671814501	0.000240834	0.003183783
NBPF11	233.1065337	-1.117153761	0.304380336	-3.670256019	0.000242308	0.003193508
ALOX5AP	279.6997985	2.692721884	0.733864438	3.669236092	0.000243276	0.003198891
GPX3	454.6955125	-1.24187971	0.33934925	-3.65959173	0.000252617	0.003303486
PWAR5	125.7197427	-1.436038477	0.392671865	-3.657095416	0.000255089	0.003329401
HIST1H4E	560.3470129	-1.175423638	0.321454235	-3.65658159	0.000255601	0.003330515
ATP6V1C2	377.3653455	-1.270971952	0.347584647	-3.656582538	0.0002556	0.003330515
CEP85L	338.9603319	-1.054841973	0.288654492	-3.654341092	0.000257843	0.003357323
SNAPC2	100.5367177	1.906141467	0.521881815	3.652438951	0.000259761	0.003372627
